mjd,val
60619.00951174,33203735.3237772
60619.00952332,33203721.8526192
60619.00953489,33203719.6991863
60619.00954647,33203746.9236698
60619.00955805,33203724.9990244
60619.00956964,33203765.8338938
60619.00958121,33203716.000865
60619.00959279,33203731.3200435
60619.00960437,33203719.2455969
60619.00961595,33203727.3451738
60619.00962752,33203738.2723227
60619.0096391,33203718.5063295
60619.00965067,33203755.8195763
60619.00966226,33203687.5838556
60619.00967384,33203735.9832173
60619.00968542,33203761.0842199
60619.00969699,33203735.9510365
60619.00970857,33203709.3122797
60619.00972014,33203746.0580186
60619.00973173,33203711.55478
60619.0097433,33203752.487856
60619.00975488,33203732.2024402
60619.00976646,33203749.3133822
60619.00977804,33203696.7463426
60619.00978962,33203764.3557024
60619.0098012,33203714.787859
60619.00981277,33203751.7873506
60619.00982435,33203718.4431496
60619.00983593,33203740.4094916
60619.00984751,33203732.1873407
60619.00985909,33203721.0932627
60619.00987066,33203750.7598257
60619.00988224,33203734.5853433
60619.00989382,33203738.7316199
60619.00990539,33203727.6904459
60619.00991698,33203736.8809414
60619.00992856,33203754.2331504
60619.00994013,33203756.705967
60619.00995171,33203724.8203716
60619.00996329,33203771.2137718
60619.00997487,33203714.6768236
60619.00998645,33203760.3245898
60619.00999803,33203739.914402
60619.0100096,33203750.0917787
60619.01002118,33203739.0126696
60619.01003276,33203719.8695469
60619.01004434,33203755.1863422
60619.01005591,33203731.7009917
60619.01006749,33203741.8377094
60619.01007908,33203710.0458383
60619.01009065,33203745.8858758
60619.01010223,33203710.3331747
60619.0101138,33203741.633707
60619.01012538,33203723.3165331
60619.01013697,33203726.4450169
60619.01014854,33203729.2210731
60619.01016012,33203749.2992935
60619.0101717,33203737.6707669
60619.01018328,33203757.1163291
60619.01019486,33203723.5938235
60619.01020643,33203748.62782
60619.01021801,33203737.9060001
60619.01022959,33203729.335124
60619.01024116,33203748.7763854
60619.01025274,33203720.677145
60619.01026433,33203749.8174247
60619.0102759,33203745.7847233
60619.01028748,33203731.9855003
60619.01029906,33203754.0768309
60619.01031063,33203732.5563212
60619.01032222,33203725.2327327
60619.0103338,33203749.9739752
60619.01034537,33203728.1051664
60619.01035695,33203733.6579772
60619.01036853,33203732.2360229
60619.01038011,33203720.5585575
60619.01039168,33203730.2967253
